I'm lost                                                                                            	Main kho gai hoon                                                                                	میں کھو گئی ہوں
Can I help you?                                                                                        	Kya main aapki madad kar sakti hun                                                       	کیا میں آپکی مدد کر سکتی ہوں
Can you help me?                                                                                      	Kya aap meri madad kar sakti hain?                                                             	کیا آپ میری مدد کر سکتی ہیں
Where is the Pharmacy?	                                                                                Dawa khana kahan hai?                                                                                 دواخانہ کہاں ہے
Go straight! then turn left!                                                                          	Sidhe jakar bain mur jaiye                                                                          	سیدھے جا کر بائیں مٹ جائیے
I'm looking for Ali.                                                                                 	Main Ali ko dhund rahi hoon                                                                          	میں علی کو ڈھونڈ رہی ہوں
One moment please                                                                                    	Barae meherbani kuch deyr intezar kijiye                                                             	براہ مہربانی کچھ دیر انتظار کیجیے
Hold on please!	                                                                                        Barae meherbani hold kijiye                                                                             	براہ مہربانی ہولڈ کیجیے
How much is this?                                                                                   	Ye kitne ka hai?                                                                                          	یہ کتنے کا ہے؟
Excuse me!	                                                                                            Maaf kijiye ga                                                                                           	معاف کیجیے گا
Come with me.                                                                                       	Mere saath aaiye                                                                                        	میرے ساتھ آئیے
