Thanks a lot.                                                                                     	bohat bohat sukriya                                                                                	بہت بہت شکریہ
Thanks for your advice.	                                                                            aap k mashware k liye shukriya                                                                	آپ کے مشورے کے لیے شکریہ
Thanks for your invitation.                                                                        	aap ki dawat k liye shukriya                                                                    	آپ کی دعوت کے لیے شکریہ
I'm very grateful to you.                                                                       	main aap ka bohat shukar guzar hoon                                                                	میں آپ کا بہت شکرگزارہوں
Thanks for the gift.                                                                            	tohfay k liya shukriya                                                                             	تحفے کے لیے شکریہ
This is very costly.                                                                            	ye bohat mehnga hai                                                                             	 یہ بہت مہنگا ہے
You are very kind.                                                                              	aap bohat meharbaan hain                                                                            	آپ بہت مہربان ہیں
Not at all, it's my pleasure.                                                                   	bikul nahi, ye mere khushi hai                                                                  	بالکل نہیں، یہ میری خوشی ہے
Wish you a happy new year.                                                                       	aap ko nay saal ki khushiyan mubarak hon                                                         	آپ کو نئے سال کی خوشیاں مبارک ہوں
Many many happy returns of the day.                                                                	saalgirah ki bohat bohat mubarak ho                                                              	سالگرہ کی بہت بہت مبارک ہو
Congratulations on your success.                                                                	aap ko kamyabi mubarak ho                                                                        	آپ کو کامیابی مبارک ہو
Congratulations on your wedding.                                                                	aap ko shadi mubarak ho                                                                         	آپ کو شادی مبارک ہو
Wish you all the best.                                                                           	tamam naik tamanain aap k liye                                                                  	تمام نیک تمنائیں آپ کے لیے
