Camel                                                                           oont                             	 اونٹ
Cat                                                                                 billi                       	  بلی
Sheep                                                                           bhaid                              بھیڑ
Wolf                                                                            bhaidia                            بھیڑیا
Ox                                                                                 bael                             بیل
Buffalo                                                                         bhance                            بھینس
Monkey                                                                          bandar                         	   بندر
Kitten                                                                             billi ka bacha            بلی کا بچہ
Leapord                                                                         taindova                           تیندوا
Panther                                                                         cheeta                             چیتا
Mouse                                                                           chooha                             چوہا
Beast                                                                           haivaan                            حیوان
Rabbit                                                                          khargosh                    	 خرگوش
Mule                                                                            khachar                            خچر
Bear	                                                                        reach                              ریچھ
