Agony	                                                                                     aaziyat                                    	اذیت
Agitation                                                                                  baytaab                                     	بےتاب
Alienation	                                                                                bayghanigi                                  	بیگانگی
Affection	                                                                                  piyaar                                        	پیار
Excited	                                                                                     purjosh                                      	پرجوش
Mad	                                                                                           pagal                                     	پاگل
Aggressive                                                                                   jarhana                                    	جارحانہ
Alarm	                                                                                      chokas                                       	چوکس
Amazement	                                                                                  hairat                                       	حیرت
Jealous	                                                                                      hasaad                                      	حسد
Glad	                                                                                        khus                                     	خوش
Fear	                                                                                       khoaf                                     	خوف
Afraid	                                                                                   khoaf zda                                     	خوف زدہ
Fascinate	                                                                                 dildada                                       	دِلدادہ
Agreeable	                                                                                    razi                                     	راضی
