Orchid	                                                                                        ashn                                    	 اشنھ
Daffodil                                                                               aabi nargas                                	آبی نرگس
Carnation	                                                                            piyazi phool                                	پیازی پهول
Gerbera	                                                                                     gerbera                                    	جربیرہ
Bluebells                                                                              Jungli sunbal                                 	جنگلی سنبل
Jasmine	                                                                                   chanbaili                                    	چنبیلی
Sunflower 	                                                                            suraj mukkhi                                	سورج مکھی
Iris	                                                                                       Sosni                                    	سوسنی
Hyacinth	                                                                           soonbull aabi                                	سنبل آبی
Lilly of the Valley	                                                                          sooman                                    	سُمن
Forget-me-not	                                                                           Gull wafa                                    	 گل وفا
Rose	                                                                                      gulaab                                       	گلاب
Tulip	                                                                                   gull lala                                    	 گل لالہ
Daisy	                                                                                 gull daoodi                                    	گل داؤدی
Holly	                                                                               gull zakhaira                                    	گل ذخیرہ
