Stawberry	                                                                               astaberry                             	  اسٹرابیری
Guava	                                                                                      amrood                                 	امرود
Grapes 	                                                                                      angoor                                	انگور
Pomegranate                                                                                	   anaar                                 	انار
Pineapple 	                                                                                an-anaas                                 	انناس
Mango	                                                                                         aam                                   	 آم
Peach 	                                                                                        aaru                                 	آڑو
Plum                                                                                  	aalu bukhara                                	آلوبخارہ
Papaya 	                                                                                     papeeta                                 	پپیتا
GrapeFruit	                                                                                chakotra                                	چکوتره
Apricot 	                                                                                khoobani                                 	خوبانی
Melon	                                                                                    kharbooza                                	خربوزہ
Apple	                                                                                       sayeb                                 	سیب
Dates 	                                                                                     khajoor                                	 کجھور
Banana	                                                                                       keela                                   	کیلا
