Ginger 	                                                                                       adrak                    	ادرک
Arum 	                                                                                        arvi                    	اروی
Potato 	                                                                                        aalu                    	آلو
Cabbage	                                                                                   bandhgobi                   	بند گوبھی
Brinjal 	                                                                                  bangan                    	بینگن
Okra-ladyfinger	                                                                               bhindi                   	بھنڈی
Onion 	                                                                                        pyaz                    	پیاز
Cauliflower 	                                                                           phoolgobhi               	پھول گوبھی
Spinach	                                                                                       palak                    	پالک
Zucchini                                                                                    	toori                     	توری
Tomatoes 	                                                                                    tamatar                 	ٹماٹر
Apple Gourd 	                                                                                 tinda                    	ٹنڈا
Cilantro                                                                                      	dhania                  	دھنیا
Turnip                                                                                       	shaljam                 	             شلجم
Cucumber                                                                                    	kheera                  	کریلا
